date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2019-12-31,Toronto,6,16:06:00,23:35:00,0.13,1,36.62,20.58,0.75,999.3,7.04,2019-12-31
2020-01-01,Toronto,3,16:06:00,23:36:00,0.15,1,31.02,17.62,0.9,995.4,3.89,2020-01-01
2020-01-02,Toronto,6,16:06:00,23:37:00,0.13,1,21.48,11.51,0.59,1008.7,13.04,2020-01-02
2020-01-03,Toronto,1,16:06:00,23:38:00,0.23,1,23.22,19.63,0.8,1007.7,7.34,2020-01-03
2020-01-04,Toronto,3,16:05:00,23:39:00,0.13,1,30.98,16.26,0.71,1004.0,8.99,2020-01-04
2020-01-05,Toronto,6,16:05:00,23:41:00,0.06,1,32.66,9.0,0.62,1011.8,9.5,2020-01-05
2020-01-06,Toronto,6,16:04:00,23:42:00,0.15,1,20.97,5.19,0.75,1019.1,4.33,2020-01-06
2020-01-07,Toronto,3,16:04:00,23:43:00,0.14,1,16.27,0.97,0.82,1018.0,5.54,2020-01-07
2020-01-08,Toronto,2,16:03:00,23:45:00,0.13,1,4.43,-11.03,0.76,1012.4,7.49,2020-01-08
2020-01-09,Toronto,3,16:03:00,23:46:00,0.08,1,2.54,-10.99,0.72,1026.9,3.06,2020-01-09
2020-01-10,Toronto,3,16:02:00,23:48:00,0.08,1,5.12,-13.71,0.63,1018.6,3.83,2020-01-10
2020-01-11,Toronto,3,16:01:00,23:49:00,0.13,1,-5.6,-25.17,0.61,1020.4,5.75,2020-01-11
2020-01-12,Toronto,3,16:00:00,23:51:00,0.17,1,-16.45,-25.68,0.53,1030.5,8.43,2020-01-12
2020-01-13,Toronto,3,16:00:00,23:52:00,0.16,1,-20.93,-33.36,0.56,1032.4,6.08,2020-01-13
2020-01-14,Toronto,3,15:59:00,23:54:00,0.08,1,-21.86,-37.06,0.5,1034.2,4.23,2020-01-14
2020-01-15,Toronto,3,15:58:00,23:56:00,0.08,1,-21.13,-28.73,0.43,1040.0,2.96,2020-01-15
2020-01-16,Toronto,1,15:57:00,23:57:00,0.1,1,-16.11,-24.99,0.46,1032.8,5.7,2020-01-16
2020-01-17,Toronto,3,15:56:00,23:59:00,0.14,1,-14.55,-26.72,0.5,1036.5,5.6,2020-01-17
2020-01-18,Toronto,3,15:55:00,00:01:00,0.1,1,-3.74,-11.09,0.45,1039.9,5.4,2020-01-18
2020-01-19,Toronto,3,15:53:00,00:03:00,0.08,1,30.47,23.24,0.61,1026.4,6.06,2020-01-19
2020-01-20,Toronto,3,15:52:00,00:05:00,0.03,1,42.45,15.48,0.68,1010.0,6.67,2020-01-20
2020-01-21,Toronto,3,15:51:00,00:06:00,0.09,1,34.18,22.41,0.74,1006.6,4.17,2020-01-21
2020-01-22,Toronto,3,15:50:00,00:08:00,0.16,1,34.63,16.91,0.77,1009.6,4.89,2020-01-22
2020-01-23,Toronto,3,15:48:00,00:10:00,0.1,1,37.0,25.77,0.7,1009.7,5.69,2020-01-23
2020-01-24,Toronto,3,15:47:00,00:12:00,0.16,1,38.34,22.88,0.81,1007.0,3.55,2020-01-24
2020-01-25,Toronto,0,15:46:00,00:14:00,0.11,1,36.88,13.8,0.77,1012.9,4.78,2020-01-25
2020-01-26,Toronto,3,15:44:00,00:16:00,0.02,1,28.99,19.42,0.73,1014.4,4.67,2020-01-26
2020-01-27,Toronto,0,15:43:00,00:18:00,0.07,1,35.4,12.55,0.71,1013.8,5.66,2020-01-27
2020-01-28,Toronto,0,15:41:00,00:20:00,0.12,1,30.14,16.12,0.75,1016.0,4.05,2020-01-28
2020-01-29,Toronto,3,15:39:00,00:22:00,0.16,1,36.12,22.68,0.68,1010.2,7.29,2020-01-29
2020-01-30,Toronto,6,15:38:00,00:24:00,0.09,1,35.13,23.62,0.6,1011.9,9.96,2020-01-30
2020-01-31,Toronto,5,15:36:00,00:26:00,0.28,1,34.28,27.53,0.73,1006.0,7.37,2020-01-31
2020-02-01,Toronto,5,15:34:00,00:28:00,0.27,1,36.55,11.54,0.68,997.4,11.66,2020-02-01
2020-02-02,Toronto,3,15:33:00,00:30:00,0.23,1,21.48,0.39,0.71,1016.1,6.37,2020-02-02
2020-02-03,Toronto,3,15:31:00,00:32:00,0.15,1,15.57,5.77,0.73,1025.8,4.59,2020-02-03
2020-02-04,Toronto,3,15:29:00,00:34:00,0.14,1,28.19,18.12,0.62,1013.5,8.47,2020-02-04
2020-02-05,Toronto,5,15:27:00,00:36:00,0.29,1,31.85,22.26,0.75,1004.0,7.32,2020-02-05
2020-02-06,Toronto,3,15:26:00,00:38:00,0.23,1,30.95,16.29,0.7,1009.3,9.61,2020-02-06
2020-02-07,Toronto,3,15:24:00,00:40:00,0.14,1,28.9,11.79,0.66,1013.0,4.54,2020-02-07
2020-02-08,Toronto,3,15:22:00,00:42:00,0.18,1,25.92,18.23,0.77,1019.2,5.57,2020-02-08
2020-02-09,Toronto,5,15:20:00,00:44:00,0.29,1,31.17,17.6,0.64,1018.5,13.59,2020-02-09
2020-02-10,Toronto,3,15:18:00,00:46:00,0.1,1,33.35,26.08,0.66,1022.5,7.73,2020-02-10
2020-02-11,Toronto,5,15:16:00,00:48:00,0.68,1,31.7,3.79,0.85,1013.4,8.67,2020-02-11
2020-02-12,Toronto,3,15:14:00,00:50:00,0.08,1,20.85,10.9,0.78,1027.5,4.42,2020-02-12
2020-02-13,Toronto,5,15:12:00,00:52:00,0.5,1,33.52,14.04,0.74,1003.8,6.16,2020-02-13
2020-02-14,Toronto,3,15:10:00,00:54:00,0.2,1,16.23,5.84,0.8,1010.9,6.3,2020-02-14
2020-02-15,Toronto,5,15:08:00,00:56:00,0.27,1,31.82,11.01,0.77,1010.2,5.02,2020-02-15
2020-02-16,Toronto,3,15:06:00,00:58:00,0.13,1,21.11,-6.96,0.75,1014.5,4.81,2020-02-16
2020-02-17,Toronto,5,15:03:00,01:00:00,0.25,1,3.59,-4.88,0.72,1032.4,4.49,2020-02-17
2020-02-18,Toronto,3,15:01:00,01:02:00,0.13,1,25.61,7.66,0.74,1032.9,3.15,2020-02-18
2020-02-19,Toronto,0,14:59:00,01:04:00,0.04,1,37.37,17.3,0.62,1026.8,4.98,2020-02-19
2020-02-20,Toronto,0,14:57:00,01:06:00,0.09,1,36.92,21.38,0.54,1017.9,7.37,2020-02-20
2020-02-21,Toronto,6,14:55:00,01:08:00,0.1,1,39.56,22.79,0.58,1009.3,8.04,2020-02-21
2020-02-22,Toronto,3,14:52:00,01:10:00,0.18,1,29.59,8.63,0.59,1011.6,9.41,2020-02-22
2020-02-23,Toronto,0,14:50:00,01:12:00,0.12,1,28.9,5.58,0.58,1015.8,3.94,2020-02-23
2020-02-24,Toronto,3,14:48:00,01:14:00,0.18,1,28.12,10.35,0.66,1028.7,2.62,2020-02-24
2020-02-25,Toronto,3,14:46:00,01:16:00,0.09,1,32.26,20.5,0.67,1030.8,3.87,2020-02-25
2020-02-26,Toronto,3,14:43:00,01:18:00,0.23,1,37.9,27.76,0.68,1020.9,8.37,2020-02-26
2020-02-27,Toronto,3,14:41:00,01:20:00,0.14,1,41.92,25.38,0.63,1015.7,8.75,2020-02-27
2020-02-28,Toronto,3,14:39:00,01:22:00,0.18,1,37.77,22.25,0.63,1010.4,6.36,2020-02-28
2020-02-29,Toronto,5,14:36:00,01:24:00,0.58,1,29.4,9.92,0.85,1007.5,7.35,2020-02-29
2020-03-01,Toronto,6,14:34:00,01:26:00,0.13,1,34.61,26.75,0.7,1013.3,8.28,2020-03-01
2020-03-02,Toronto,5,14:32:00,01:28:00,0.35,1,32.88,25.68,0.65,1001.6,13.37,2020-03-02
2020-03-03,Toronto,5,14:29:00,01:30:00,0.41,1,33.5,22.18,0.67,1001.0,10.05,2020-03-03
2020-03-04,Toronto,5,14:27:00,01:32:00,0.3,1,29.97,14.09,0.62,1008.4,10.52,2020-03-04
2020-03-05,Toronto,3,14:25:00,01:34:00,0.13,1,35.36,11.54,0.6,1012.8,5.54,2020-03-05
2020-03-06,Toronto,3,14:22:00,01:35:00,0.21,1,13.72,0.91,0.79,1018.3,6.73,2020-03-06
2020-03-07,Toronto,2,14:20:00,01:37:00,0.21,1,11.71,-3.64,0.77,1023.3,3.22,2020-03-07
2020-03-08,Toronto,3,14:17:00,01:39:00,0.13,1,26.25,9.28,0.69,1019.2,3.3,2020-03-08
2020-03-09,Toronto,0,14:15:00,01:41:00,0.08,1,32.9,16.63,0.54,1018.6,7.75,2020-03-09
2020-03-10,Toronto,3,14:12:00,01:43:00,0.14,1,36.72,21.86,0.59,1006.7,9.17,2020-03-10
2020-03-11,Toronto,5,14:10:00,01:45:00,0.45,1,28.19,14.52,0.77,1011.0,10.64,2020-03-11
2020-03-12,Toronto,3,14:08:00,01:47:00,0.23,1,17.78,-10.68,0.75,1028.2,8.21,2020-03-12
2020-03-13,Toronto,3,14:05:00,01:49:00,0.16,1,-0.08,-11.24,0.64,1044.6,6.54,2020-03-13
2020-03-14,Toronto,3,14:03:00,01:51:00,0.14,1,4.9,-11.7,0.64,1047.3,4.98,2020-03-14
2020-03-15,Toronto,0,14:00:00,01:52:00,0.05,1,25.21,8.53,0.52,1037.4,3.8,2020-03-15
2020-03-16,Toronto,0,13:58:00,01:54:00,0.04,1,39.73,17.72,0.55,1025.0,4.32,2020-03-16
2020-03-17,Toronto,3,13:55:00,01:56:00,0.11,1,23.49,7.13,0.72,1022.6,7.64,2020-03-17
2020-03-18,Toronto,3,13:53:00,01:58:00,0.17,1,24.75,6.87,0.82,1022.3,3.23,2020-03-18
2020-03-19,Toronto,3,13:50:00,02:00:00,0.14,1,23.93,2.92,0.8,1031.4,7.11,2020-03-19
2020-03-20,Toronto,0,13:48:00,02:02:00,0.04,1,38.89,23.39,0.62,1025.8,3.43,2020-03-20
2020-03-21,Toronto,3,13:45:00,02:04:00,0.18,1,31.98,16.7,0.64,1022.1,9.03,2020-03-21
2020-03-22,Toronto,3,13:43:00,02:05:00,0.08,1,38.0,21.51,0.67,1013.1,4.29,2020-03-22
2020-03-23,Toronto,5,13:40:00,02:07:00,0.48,1,28.87,11.16,0.85,1008.0,5.47,2020-03-23
2020-03-24,Toronto,5,13:38:00,02:09:00,0.44,1,22.02,3.64,0.84,1019.2,4.44,2020-03-24
2020-03-25,Toronto,0,13:35:00,02:11:00,0.13,1,30.93,18.56,0.67,1014.5,5.89,2020-03-25
2020-03-26,Toronto,3,13:33:00,02:13:00,0.22,1,36.15,23.74,0.69,1001.3,10.32,2020-03-26
2020-03-27,Toronto,5,13:30:00,02:15:00,0.33,1,39.59,5.36,0.76,1001.7,7.38,2020-03-27
2020-03-28,Toronto,5,13:28:00,02:17:00,0.36,1,20.39,11.16,0.75,1012.9,8.62,2020-03-28
2020-03-29,Toronto,5,13:25:00,02:18:00,0.27,1,27.52,8.05,0.83,1009.1,5.81,2020-03-29
2020-03-30,Toronto,5,13:23:00,02:20:00,0.35,1,17.45,2.56,0.81,1019.1,6.09,2020-03-30
2020-03-31,Toronto,5,13:21:00,02:22:00,0.33,1,10.15,-2.86,0.75,1027.6,7.39,2020-03-31
2020-04-01,Toronto,1,13:18:00,02:24:00,0.24,1,9.91,-10.33,0.7,1034.0,8.54,2020-04-01
2020-04-02,Toronto,3,13:16:00,02:26:00,0.12,1,15.53,-1.85,0.63,1032.5,3.49,2020-04-02
2020-04-03,Toronto,5,13:13:00,02:28:00,0.39,1,16.47,-1.13,0.73,1025.1,4.06,2020-04-03
2020-04-04,Toronto,3,13:11:00,02:29:00,0.11,1,25.0,6.23,0.8,1018.8,4.89,2020-04-04
2020-04-05,Toronto,5,13:08:00,02:31:00,0.29,1,22.22,8.71,0.83,1013.6,4.56,2020-04-05
2020-04-06,Toronto,3,13:06:00,02:33:00,0.13,1,35.32,21.49,0.76,1006.5,5.67,2020-04-06
2020-04-07,Toronto,5,13:03:00,02:35:00,0.37,1,28.92,18.54,0.68,1012.6,14.08,2020-04-07
2020-04-08,Toronto,0,13:01:00,02:37:00,0.07,1,36.82,27.0,0.57,1026.7,6.02,2020-04-08
2020-04-09,Toronto,3,12:59:00,02:39:00,0.19,1,46.75,24.46,0.68,1015.3,8.3,2020-04-09
2020-04-10,Toronto,5,12:56:00,02:41:00,0.6,1,31.55,11.69,0.82,1020.5,7.76,2020-04-10
2020-04-11,Toronto,5,12:54:00,02:42:00,0.29,1,25.18,11.61,0.59,1030.6,8.41,2020-04-11
2020-04-12,Toronto,5,12:52:00,02:44:00,0.37,1,25.38,11.89,0.64,1032.3,8.02,2020-04-12
2020-04-13,Toronto,0,12:49:00,02:46:00,0.09,1,41.16,29.11,0.59,1025.4,4.96,2020-04-13
2020-04-14,Toronto,5,12:47:00,02:48:00,0.83,1,37.78,22.7,0.9,1018.9,9.56,2020-04-14
2020-04-15,Toronto,5,12:44:00,02:50:00,0.66,1,31.07,22.56,0.83,1032.0,8.22,2020-04-15
2020-04-16,Toronto,3,12:42:00,02:52:00,0.04,1,51.18,34.61,0.65,1019.9,5.83,2020-04-16
2020-04-17,Toronto,4,12:40:00,02:54:00,0.8,0,38.44,23.65,0.89,1010.1,9.22,2020-04-17
2020-04-18,Toronto,3,12:38:00,02:55:00,0.21,1,44.89,29.16,0.69,1016.7,4.43,2020-04-18
2020-04-19,Toronto,0,12:35:00,02:57:00,0.04,1,53.72,34.78,0.57,1010.0,8.56,2020-04-19
2020-04-20,Toronto,0,12:33:00,02:59:00,0.03,0,58.45,38.65,0.54,1009.2,7.83,2020-04-20
